condition,paired_attempts,baseline_successes,condition_successes,paired_rescues,paired_regressions,success_delta,rescue_rate_among_baseline_failures,regression_rate_among_baseline_successes
always_continue_once_control,24,2,4,4,2,0.0833,0.1818,1.0000
coarse_binding_gate,17,2,8,6,0,0.3529,0.4000,0.0000
mode_only_binding_gate,16,2,5,5,2,0.1875,0.3571,1.0000
precise_attribution_binding_gate,16,2,8,7,1,0.3750,0.5000,0.5000
wrong_binding_gate,16,2,5,4,1,0.1875,0.2857,0.5000
