condition,attempts,successes,success_rate,mean_reward
always_continue_once_control,24,4,0.1667,0.1667
coarse_binding_gate,17,8,0.4706,0.4706
mode_only_binding_gate,16,5,0.3125,0.3125
no_gate,24,2,0.0833,0.0833
precise_attribution_binding_gate,16,8,0.5000,0.5000
wrong_binding_gate,16,5,0.3125,0.3125
