condition_a,condition_b,paired_attempts,condition_a_successes,condition_b_successes,a_beats_b,b_beats_a,ties_success,ties_failure,success_delta_a_minus_b
no_memory_repeat_a,no_memory_repeat_b,5,2,2,0,0,2,3,0.0000
no_memory_repeat_a,no_memory_repeat_c,5,2,1,1,0,1,3,0.2000
no_memory_repeat_b,no_memory_repeat_c,5,2,1,1,0,1,3,0.2000
