condition,attempts,successes,success_rate,mean_reward
failure_mode_only_card,18,5,0.2778,0.2778
generic_policy_card,18,6,0.3333,0.3333
no_memory,18,5,0.2778,0.2778
oracle_single_missing_check_card_v1,18,6,0.3333,0.3333
